org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank,delta rank
Deepseek,0.0,0.30580430222079646,0.0,0.0,0.003666854271899251,0.0,0.0,0.047371449495213686,0.0,0.1510574018126888,0.0,0.0,0.055,0.0,0.0,0.6851411902685473,0.32662895453593127,0.25,0.10137056403361538,11,0
OpenBMB,0.0,0.012514003625098668,0.0,0.0,0.004726423847678436,0.0,1.1100337306508742e-05,0.001339122247214521,0.0,0.08761329305135952,0.0,0.0,0.085,0.0,0.018691588785046728,0.11320783087240249,0.10077519379844961,0.25,0.03743769758691981,19,0
01-AI,0.0,0.00631417715008178,0.0,0.0,6.5990423596200864e-06,0.0,0.0,0.011288382068316158,0.0,0.07854984894259819,0.0,0.0,0.01,0.0,0.0,0.07073046040958711,0.05887282631468678,0.25,0.026986794107090532,22,1
Ai2,0.0,0.025861598871038824,0.0,0.0,0.0036665584879295,0.0,0.0015389140292451564,0.009342470052832558,0.0,0.2930513595166163,0.0,0.0,0.04,0.0,0.07476635514018691,0.07127176495353803,0.0842237586423633,0.25,0.047429043316319475,15,-1
OpenAI,0.00017375801247840686,0.0,0.0,0.013015193665739354,1.0,0.0,0.0,0.08245017523670031,0.03333333333333333,0.0,0.0,0.25,0.08,0.0,0.0,0.2077857636904941,0.17640896710664153,0.25,0.11628706616918819,10,0
Nvidia,0.16651716858240667,0.03195881750226871,0.21575234119399184,0.0032377487695270705,0.004060563134532473,0.0,0.0003211311611064625,0.016958727833865147,0.3888888888888889,0.2719033232628399,0.5357142857142857,0.375,0.095,0.0,0.028037383177570093,0.2222355877665173,0.1935889377749843,0.25,0.1555097169312658,6,-1
Microsoft,0.7993074104912904,0.2510150900760317,0.10727338458814875,0.0020265354162208433,0.06833117633723346,0.0,0.0,0.1037505884814563,0.35,0.21450151057401812,0.1130952380952381,0.125,0.33,0.0,0.0,0.518043484798364,0.446469725539493,0.25,0.2043785635776386,4,0
Apple,0.11063361306056568,0.049708002398884135,0.0,0.0,0.0080871213119908,0.0,0.0,0.001945912015483601,0.2111111111111111,0.03323262839879154,0.0,0.0,0.06,0.0,0.0,0.04540943674254955,0.05133040016760947,0.25,0.04563656806705477,16,-3
HuggingFace,0.00039596968786507797,0.06327673936056907,0.0,0.0,0.005341481114157834,0.0,0.0,0.036627085839828426,0.005555555555555556,0.13293051359516617,0.0,0.0,0.065,0.0,0.0,0.12104171052235889,0.0812905929184999,0.25,0.04230331381077783,18,-3
Princeton NLP,0.0,0.004237907132252098,0.0,0.0,0.0,0.0,0.0,0.007951038342836218,0.0,0.18126888217522658,0.0,0.0,0.0,0.0,0.0,0.007969205785944126,0.029122145401215167,0.25,0.026697176602081898,23,-3
UKP Lab,0.0,0.0,0.0,0.0,0.001668996747386078,0.0,1.0,0.01787937437882513,0.0,0.0,0.0,0.0,0.005,0.0,1.0,0.12531200192463837,0.11606955793002305,0.25,0.1397738850544929,8,-1
Tencent,0.006001502460711327,5.563651867541939e-05,0.0,1.0,0.001050645059450487,0.0,9.157112790021601e-06,0.0019354501229272376,0.16666666666666666,0.03927492447129909,0.0,1.0,0.095,0.0,0.08411214953271028,0.10358463897994166,0.0517494238424471,0.25,0.15552445526486772,5,1
ByteDance,0.00016432543465815048,0.0027139386241949474,0.0,0.0,0.005927755540546276,0.0,9.982317721680525e-07,0.0017471360569126955,0.044444444444444446,0.04833836858006042,0.0,0.0,0.12,0.0,0.009345794392523364,0.12210928337292876,0.07186256023465326,0.5,0.05148081138403858,13,3
